stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name
104594,Westbound 300 block Robson,50.65047199630519,-120.344737999797,104594,0,,Westbound 300 block Robson
104595,Westbound Robson at Breakenridge,50.6498689959924,-120.347793999922,104595,0,,Westbound Robson at Breakenridge
104596,Westbound Robson at Gladstone,50.6494429965397,-120.353955000644,104596,0,,Westbound Robson at Gladstone
104597,Southbound Robson at Gladstone,50.6476649964345,-120.353647000621,104597,0,,Southbound Robson at Gladstone
104598,Eastbound Summit at Monteith,50.646360996311394,-120.35142399977101,104598,0,,Eastbound Summit at Monteith
104599,Eastbound Summit at Hollyburn,50.6468559963341,-120.347690000264,104599,0,,Eastbound Summit at Hollyburn
104600,Eastbound Summit at Tremerton,50.64770899616109,-120.34240599988401,104600,0,,Eastbound Summit at Tremerton
104601,Eastbound Summit at Robson,50.6481999963952,-120.33967999987,104601,0,,Eastbound Summit at Robson
104602,Westbound Summit at Gleneagles,50.6525219962706,-120.341620000172,104602,0,,Westbound Summit at Gleneagles
104603,Northbound Summit at Waddington,50.654900996141,-120.344373999979,104603,0,,Northbound Summit at Waddington
104604,Eastbound Summit at Freshfield,50.656196996515895,-120.34110100061001,104604,0,,Eastbound Summit at Freshfield
104605,Northbound Summit at Whiteshield Cres S,50.657371995738195,-120.33898899972002,104605,0,,Northbound Summit at Whiteshield Cres S
104606,Westbound Summit at Gordonhorn,50.659265996356694,-120.33974299956,104606,0,,Westbound Summit at Gordonhorn
104607,Westbound Summit at Whiteshield,50.659791996152,-120.34239499933601,104607,0,,Westbound Summit at Whiteshield
104608,Westbound Summit at Springhill,50.6608049957542,-120.34542000028202,104608,0,,Westbound Summit at Springhill
104609,Westbound McGill at Camosun,50.667630995732594,-120.36716700065801,104609,0,,Westbound McGill at Camosun
104610,TRU Exchange Bay C,50.6711399959231,-120.368203999834,104610,0,800014,TRU Exchange Bay C
104611,Northbound McGill Rd at McGill Pl,50.6694479964738,-120.372993000146,104611,0,,Northbound McGill Rd at McGill Pl
104612,Northbound McGill at McMaster,50.671753995700094,-120.37400799993802,104612,0,,Northbound McGill at McMaster
104613,Northbound McGill at Concordia,50.6738269961576,-120.37588800067302,104613,0,,Northbound McGill at Concordia
104614,North Shore Exchange Bay F,50.69785699643,-120.36041300004001,104614,0,800007,North Shore Exchange Bay F
104615,Southbound McGill at Concordia,50.6733459958296,-120.37570099951401,104615,0,,Southbound McGill at Concordia
104616,Southbound McGill at McMaster,50.6712369960559,-120.373761000394,104616,0,,Southbound McGill at McMaster
104617,Southbound McGill Rd at McGill Pl,50.668936996441595,-120.37314299963,104617,0,,Southbound McGill Rd at McGill Pl
104618,North Shore Exchange Bay A ,50.6977409960834,-120.36013899947,104618,0,800007,North Shore Exchange Bay A
104619,Eastbound 710 block Halston,50.7106269957458,-120.359627999945,104619,0,,Eastbound 710 block Halston
104620,Southbound Halston Connector at Salish,50.7117489963601,-120.335557000627,104620,0,,Southbound Halston Connector at Salish
104621,Northbound Old Highway 5 at Devick,50.7884849966065,-120.317279000244,104621,0,,Northbound Old Highway 5 at Devick
104622,Northbound Old Highway 5 at Mattoch-McKeague,50.79157299649479,-120.315417999713,104622,0,,Northbound Old Highway 5 at Mattoch-McKeague
104623,Northbound Old Highway 5 at Puett Ranch,50.796904995891296,-120.31209600052001,104623,0,,Northbound Old Highway 5 at Puett Ranch
104624,Northbound 6790 block Old Highway 5,50.8510189965371,-120.266787000033,104624,0,,Northbound 6790 block Old Highway 5
104625,Northbound Old Highway 5 at Creek,50.86031199603109,-120.26533399936001,104625,0,,Northbound Old Highway 5 at Creek
104626,Westbound Puett Ranch at Old Highway 5,50.7973849964191,-120.31243899994202,104626,0,,Westbound Puett Ranch at Old Highway 5
104627,Northbound Cammeray at Puett Ranch,50.7977709963736,-120.314851999892,104627,0,,Northbound Cammeray at Puett Ranch
104628,Northbound Cammeray at Strawberry,50.7997859963195,-120.31466999941601,104628,0,,Northbound Cammeray at Strawberry
104629,Northbound Cammeray at Chilco,50.8031649964086,-120.31236699968001,104629,0,,Northbound Cammeray at Chilco
104630,Westbound Reighmount at Pinantan,50.8041449958643,-120.312642000218,104630,0,,Westbound Reighmount at Pinantan
104631,Westbound Reighmount at Kathleen,50.804957996109394,-120.317970999671,104631,0,,Westbound Reighmount at Kathleen
104632,Southbound Aspen Park at Spurraway,50.8039889963393,-120.321155000547,104632,0,,Southbound Aspen Park at Spurraway
104633,Southbound Aspen Park at Helmcken,50.8011379965279,-120.323068000204,104633,0,,Southbound Aspen Park at Helmcken
104634,Southbound Spurraway at Helmcken,50.800579996109896,-120.320430000512,104634,0,,Southbound Spurraway at Helmcken
104635,Southbound Spurraway at Puett Ranch,50.797579996184396,-120.320413000414,104635,0,,Southbound Spurraway at Puett Ranch
104636,Southbound Furiak at Puett Ranch,50.7969679960763,-120.32297100035001,104636,0,,Southbound Furiak at Puett Ranch
104637,Eastbound Mattoch-McKeague at Furiak,50.793117995849094,-120.32216100008401,104637,0,,Eastbound Mattoch-McKeague at Furiak
104638,Southbound Old Highway 5 at Mattoch-McKeague,50.791105996555,-120.31587499933401,104638,0,,Southbound Old Highway 5 at Mattoch-McKeague
104639,Southbound block Old Highway 5 at Devick,50.7882309964614,-120.317685000598,104639,0,,Southbound block Old Highway 5 at Devick
104640,Northbound Halston Connector at Josep,50.7117909963023,-120.33500899956401,104640,0,,Northbound Halston Connector at Josep
104641,Westbound Southview at Hillcrest,50.712164996206,-120.370781999883,104641,0,,Westbound Southview at Hillcrest
104642,Eastbound Linthorpe at Southview,50.7140529960029,-120.372097999782,104642,0,,Eastbound Linthorpe at Southview
104643,Eastbound Linthorpe at Hillcrest,50.7140259960215,-120.37054200004901,104643,0,,Eastbound Linthorpe at Hillcrest
104644,Northbound Batchelor at Norview,50.7173519957894,-120.369394999725,104644,0,,Northbound Batchelor at Norview
104645,Northbound Grasslands at Quail,50.7215379958654,-120.37043099943101,104645,0,,Northbound Grasslands at Quail
104646,Eastbound Quail at Quails Roost,50.719937995810895,-120.36546599944,104646,0,,Eastbound Quail at Quails Roost
104647,Northbound Quail Dr at Quail Crt,50.7213539956847,-120.36423899958801,104647,0,,Northbound Quail Dr at Quail Crt
104648,Westbound Raven at Grasslands,50.722619996183695,-120.36787400017501,104648,0,,Westbound Raven at Grasslands
104649,Southbound Batchelor at Grasslands,50.7203439958789,-120.369903999414,104649,0,,Southbound Batchelor at Grasslands
104650,Eastbound Norview Rd at Norview Pl,50.7184919962959,-120.36382399933701,104650,0,,Eastbound Norview Rd at Norview Pl
104651,Southbound North River at Norview,50.7184869964811,-120.361705000574,104651,0,,Southbound North River at Norview
104652,Southbound North River at Leighton,50.716225996041295,-120.366654999695,104652,0,,Southbound North River at Leighton
104653,Southbound Batchelor at North River,50.7142139959021,-120.366465999346,104653,0,,Southbound Batchelor at North River
104654,Lansdowne Exchange Bay E,50.6767699961157,-120.32577899951401,104654,0,800004,Lansdowne Exchange Bay E
104655,Eastbound Seymour at 6th Ave,50.6748629962394,-120.326669000308,104655,0,,Eastbound Seymour at 6th Ave
104656,Eastbound Seymour at 8th Ave,50.67484099644201,-120.32177299977101,104656,0,,Eastbound Seymour at 8th Ave
104657,Eastbound Victoria at 10th Ave,50.67396299572479,-120.31564699997,104657,0,,Eastbound Victoria at 10th Ave
104658,Eastbound Battle at 12th Ave,50.673017996583795,-120.311349000052,104658,0,,Eastbound Battle at 12th Ave
104659,Eastbound Battle at Columbia,50.673006995716804,-120.306945999658,104659,0,,Eastbound Battle at Columbia
104660,Eastbound Valleyview at Rose Hill,50.6722329959398,-120.294611000381,104660,0,,Eastbound Valleyview at Rose Hill
104661,Northbound Valleyview at Comazzetto,50.6744649957818,-120.29061399974101,104661,0,,Northbound Valleyview at Comazzetto
104662,Eastbound Valleyview at Knollwood,50.675168996409,-120.288111999725,104662,0,,Eastbound Valleyview at Knollwood
104663,Eastbound Valleyview at Orchard,50.6757399964779,-120.283412999378,104663,0,,Eastbound Valleyview at Orchard
104664,Eastbound Valleyview at Cardinal,50.6758919958885,-120.276754999787,104664,0,,Eastbound Valleyview at Cardinal
104665,Northbound Oriole at Glenwood,50.6773979961115,-120.272183000172,104665,0,,Northbound Oriole at Glenwood
104666,Eastbound Falcon at Oriole,50.6788229961211,-120.271530999604,104666,0,,Eastbound Falcon at Oriole
